Selegiline	Selegiline	s040204050	NN	B-NP	B-Chemical
cardiovascular	cardiovascular	c06301020406	JJ	I-NP	O
responses	response	r02105202	NNS	I-NP	O
to	to	t000	TO	B-VP	O
standing	standing	s3053052	VB	I-VP	O
and	and	a530	CC	I-VP	O
head	head	h030	VB	I-VP	O
-	-	-000	HYPH	O	O
up	up	u100	RP	B-PRT	O
tilt	tilt	t043	NN	B-NP	O
were	be	w060	VBD	B-VP	O
studied	study	s30303	VBN	I-VP	O
repeatedly	repeatedly	r01030340	RB	B-ADVP	O
in	in	i500	IN	B-PP	O
PD	PD	p300	NN	B-NP	B-Disease
patients	patient	p030532	NNS	I-NP	O
receiving	receive	r0201052	VBG	B-VP	O
selegiline	selegiline	s040204050	NN	B-NP	B-Chemical
and	and	a530	CC	B-PP	O
as	as	a200	IN	B-PP	O
the	the	t000	DT	B-NP	O
drug	drug	d602	NN	I-NP	O
was	be	w020	VBD	B-VP	O
withdrawn	withdraw	w0303605	VBN	I-VP	O
.	.	.000	.	O	O

RESULTS	RESULTS	r020432	NNS	B-NP	O
:	:	:000	:	O	O
Head	Head	h030	VB	B-VP	O
-	-	-000	HYPH	O	O
up	up	u100	RP	B-PRT	O
tilt	tilt	t043	NN	B-NP	O
caused	cause	c0203	VBD	B-VP	O
systolic	systolic	s0230402	JJ	B-NP	B-Disease
orthostatic	orthostatic	o630230302	JJ	I-NP	I-Disease
hypotension	hypotension	h010305205	NN	I-NP	I-Disease
which	which	w020	WDT	B-NP	O
was	be	w020	VBD	B-VP	O
marked	mark	m06203	VBN	I-VP	O
in	in	i500	IN	B-PP	O
six	six	s020	CD	B-NP	O
of	of	o100	IN	I-NP	O
20	20	0000	CD	I-NP	O
PD	PD	p300	NN	I-NP	B-Disease
patients	patient	p030532	NNS	I-NP	O
on	on	o500	IN	B-PP	O
selegiline	selegiline	s040204050	NN	B-NP	B-Chemical
,	,	,000	,	O	O
one	one	o500	CD	B-NP	O
of	of	o100	IN	B-PP	O
whom	whom	w050	WP	B-NP	O
lost	lose	l023	VBD	B-VP	O
consciousness	consciousness	c05202502	NN	B-NP	O
with	with	w030	IN	B-PP	O
unrecordable	unrecordable	u56020630140	JJ	B-NP	O
blood	blood	b403	NN	I-NP	O
pressures	pressure	p6020602	NNS	I-NP	O
.	.	.000	.	O	O

A	A	a000	DT	B-NP	O
lesser	less	l0206	JJR	I-NP	O
degree	degree	d0260	NN	I-NP	O
of	of	o100	IN	B-PP	O
orthostatic	orthostatic	o630230302	JJ	B-NP	B-Disease
hypotension	hypotension	h010305205	NN	I-NP	I-Disease
occurred	occur	o20603	VBD	B-VP	O
with	with	w030	IN	B-PP	O
standing	standing	s3053052	NN	B-NP	O
.	.	.000	.	O	O

Orthostatic	Orthostatic	o630230302	JJ	B-NP	B-Disease
hypotension	hypotension	h010305205	NN	I-NP	I-Disease
was	be	w020	VBD	B-VP	O
ameliorated	ameliorate	a504060303	VBN	I-VP	O
4	4	4000	CD	B-NP	O
days	day	d020	NNS	I-NP	O
after	after	a1306	IN	B-PP	O
withdrawal	withdrawal	w0303604	NN	B-NP	O
of	of	o100	IN	B-PP	O
selegiline	selegiline	s040204050	NN	B-NP	B-Chemical
and	and	a530	CC	O	O
totally	totally	t03040	RB	B-VP	O
abolished	abolish	a1040203	VBD	I-VP	O
7	7	7000	CD	B-NP	O
days	day	d020	NNS	I-NP	O
after	after	a1306	IN	B-PP	O
discontinuation	discontinuation	d02053050305	NN	B-NP	O
of	of	o100	IN	B-PP	O
the	the	t000	DT	B-NP	O
drug	drug	d602	NN	I-NP	O
.	.	.000	.	O	O

Stopping	Stop	s301052	VBG	B-VP	O
selegiline	selegiline	s040204050	NN	B-NP	B-Chemical
also	also	a420	RB	B-ADVP	O
significantly	significantly	s025010205340	RB	B-VP	O
reduced	reduce	r030203	VBD	I-VP	B-Disease
the	the	t000	DT	B-NP	I-Disease
supine	supine	s01050	NN	I-NP	I-Disease
systolic	systolic	s0230402	JJ	I-NP	I-Disease
and	and	a530	CC	I-NP	I-Disease
diastolic	diastolic	d0230402	JJ	I-NP	I-Disease
blood	blood	b403	NN	I-NP	I-Disease
pressures	pressure	p6020602	NNS	I-NP	I-Disease
consistent	consistent	c052023053	JJ	B-ADJP	O
with	with	w030	IN	B-PP	O
a	a	a000	DT	B-NP	O
previously	previously	p6010240	RB	I-NP	O
undescribed	undescribed	u530260103	JJ	I-NP	O
supine	supine	s01050	NN	I-NP	O
pressor	pressor	p60206	NN	I-NP	O
action	action	a2305	NN	I-NP	O
.	.	.000	.	O	O

CONCLUSION	CONCLUSION	c05240205	NN	B-NP	O
:	:	:000	:	O	O
This	This	t020	DT	B-NP	O
study	study	s3030	NN	I-NP	O
confirms	confirm	c0510652	VBZ	B-VP	O
our	our	o060	PRP$	B-NP	O
previous	previous	p60102	JJ	I-NP	O
finding	finding	f053052	NN	I-NP	O
that	that	t030	IN	B-SBAR	O
selegiline	selegiline	s040204050	NN	B-NP	B-Chemical
in	in	i500	IN	B-PP	O
combination	combination	c051050305	NN	B-NP	O
with	with	w030	IN	B-PP	O
L	L	l000	NN	B-NP	B-Chemical
-	-	-000	HYPH	O	I-Chemical
dopa	dopa	d010	NN	B-NP	I-Chemical
is	be	i200	VBZ	B-VP	O
associated	associate	a2020303	VBN	I-VP	O
with	with	w030	IN	B-PP	O
selective	selective	s04023010	JJ	B-NP	O
orthostatic	orthostatic	o630230302	JJ	I-NP	B-Disease
hypotension	hypotension	h010305205	NN	I-NP	I-Disease
.	.	.000	.	O	O

The	The	t000	DT	B-NP	O
possibilities	possibility	p0201040302	NNS	I-NP	O
that	that	t030	IN	B-SBAR	O
these	these	t020	DT	B-NP	O
cardiovascular	cardiovascular	c06301020406	JJ	I-NP	O
findings	finding	f053052	NNS	I-NP	O
might	might	m0203	MD	B-VP	O
be	be	b000	VB	I-VP	O
the	the	t000	DT	B-NP	O
result	result	r02043	NN	I-NP	O
of	of	o100	IN	B-PP	O
non	non	n050	AFX	B-NP	O
-	-	-000	HYPH	I-NP	O
selective	selective	s04023010	JJ	I-NP	O
inhibition	inhibition	i5010305	NN	I-NP	O
of	of	o100	IN	B-PP	O
monoamine	monoamine	m0505050	NN	B-NP	O
oxidase	oxidase	o203020	NN	I-NP	O
or	or	o600	CC	B-PP	O
of	of	o100	IN	B-PP	O
amphetamine	amphetamine	a510305050	NN	B-NP	B-Chemical
and	and	a530	CC	I-NP	O
metamphetamine	metamphetamine	m030510305050	NN	I-NP	B-Chemical
are	be	a600	VBP	B-VP	O
discussed	discuss	d020203	VBN	I-VP	O
.	.	.000	.	O	O

Further	Further	f06306	JJ	B-NP	O
studies	study	s30302	NNS	I-NP	O
on	on	o500	IN	B-PP	O
effects	effect	e10232	NNS	B-NP	O
of	of	o100	IN	B-PP	O
irrigation	irrigation	i6020305	NN	B-NP	O
solutions	solution	s0403052	NNS	I-NP	O
on	on	o500	IN	B-PP	O
rat	rat	r030	NN	B-NP	O
bladders	bladder	b403062	NNS	I-NP	O
.	.	.000	.	O	O

Further	Further	f06306	JJ	B-NP	O
studies	study	s30302	NNS	I-NP	O
on	on	o500	IN	B-PP	O
the	the	t000	DT	B-NP	O
effects	effect	e10232	NNS	I-NP	O
of	of	o100	IN	B-PP	O
certain	certain	c06305	JJ	B-NP	O
irrigating	irrigate	i60203052	VBG	I-NP	O
fluids	fluid	f4032	NNS	I-NP	O
on	on	o500	IN	B-PP	O
the	the	t000	DT	B-NP	O
rat	rat	r030	NN	I-NP	O
bladder	bladder	b40306	NN	I-NP	O
for	for	f060	IN	B-PP	O
18	18	0000	CD	B-NP	O
hours	hour	h062	NNS	I-NP	O
are	be	a600	VBP	B-VP	O
reported	report	r0106303	VBN	I-VP	O
.	.	.000	.	O	O

The	The	t000	DT	B-NP	O
results	result	r020432	NNS	I-NP	O
have	have	h010	VBP	B-VP	O
shown	show	s050	VBN	I-VP	O
that	that	t030	IN	B-SBAR	O
the	the	t000	DT	B-NP	O
degradation	degradation	d026030305	NN	I-NP	O
product	product	p603023	NN	I-NP	O
p	p	p000	NN	I-NP	B-Chemical
-	-	-000	HYPH	B-NP	I-Chemical
choloroaniline	choloroaniline	c04060504050	NN	I-NP	I-Chemical
is	be	i200	VBZ	B-VP	O
not	not	n030	RB	O	O
a	a	a000	DT	B-NP	O
significant	significant	s0250102053	JJ	I-NP	O
factor	factor	f02306	NN	I-NP	O
in	in	i500	IN	B-PP	O
chlorhexidine	chlorhexidine	c04060203050	NN	B-NP	B-Chemical
-	-	-000	HYPH	B-NP	I-Chemical
digluconate	digluconate	d0240205030	NN	I-NP	I-Chemical
associated	associate	a2020303	VBN	B-VP	O
erosive	erosive	e602010	JJ	B-NP	O
cystitis	cystitis	c0230302	NN	I-NP	B-Disease
.	.	.000	.	O	O

A	A	a000	DT	B-NP	O
high	high	h020	JJ	I-NP	O
percentage	percentage	p062053020	NN	I-NP	O
of	of	o100	IN	B-PP	O
kanamycin	kanamycin	k05050205	NN	B-NP	B-Chemical
-	-	-000	HYPH	B-NP	O
colistin	colistin	c0402305	NN	I-NP	B-Chemical
and	and	a530	CC	I-NP	O
povidone	povidone	p0103050	NN	I-NP	B-Chemical
-	-	-000	HYPH	B-NP	I-Chemical
iodine	iodine	i03050	NN	I-NP	I-Chemical
irrigations	irrigation	i60203052	NNS	I-NP	O
were	be	w060	VBD	B-VP	O
associated	associate	a2020303	VBN	I-VP	O
with	with	w030	IN	B-PP	O
erosive	erosive	e602010	JJ	B-NP	O
cystitis	cystitis	c0230302	NN	I-NP	B-Disease
and	and	a530	CC	O	O
suggested	suggest	s0202303	VBD	B-VP	O
a	a	a000	DT	B-NP	O
possible	possible	p020140	JJ	I-NP	O
complication	complication	c0514020305	NN	I-NP	O
with	with	w030	IN	B-PP	O
human	human	h0505	JJ	B-NP	O
usage	usage	u2020	NN	I-NP	O
.	.	.000	.	O	O

Picloxydine	Picloxydine	p0240203050	NN	B-NP	B-Chemical
irrigations	irrigation	i60203052	NNS	I-NP	O
appeared	appear	a10603	VBD	B-VP	O
to	to	t000	TO	I-VP	O
have	have	h010	VB	I-VP	O
a	a	a000	DT	B-NP	O
lower	low	l060	JJR	I-NP	O
incidence	incidence	i52030520	NN	I-NP	O
of	of	o100	IN	B-PP	O
erosive	erosive	e602010	JJ	B-NP	O
cystitis	cystitis	c0230302	NN	I-NP	B-Disease
but	but	b030	CC	O	O
further	further	f06306	JJ	B-NP	O
studies	study	s30302	NNS	I-NP	O
would	would	w043	MD	B-VP	O
have	have	h010	VB	I-VP	O
to	to	t000	TO	I-VP	O
be	be	b000	VB	I-VP	O
performed	perform	p06106503	VBN	I-VP	O
before	before	b01060	IN	B-SBAR	O
it	it	i300	PRP	B-NP	O
could	could	c043	MD	B-VP	O
be	be	b000	VB	I-VP	O
recommended	recommend	r020505303	VBN	I-VP	O
for	for	f060	IN	B-PP	O
use	use	u200	NN	B-NP	O
in	in	i500	IN	B-PP	O
urological	urological	u604020204	JJ	B-NP	O
procedures	procedure	p602030602	NNS	I-NP	O
.	.	.000	.	O	O

Effects	Effect	e10232	NNS	B-NP	O
of	of	o100	IN	B-PP	O
tetrandrine	tetrandrine	t0360536050	NN	B-NP	B-Chemical
and	and	a530	CC	I-NP	O
fangchinoline	fangchinoline	f0520504050	NN	I-NP	B-Chemical
on	on	o500	IN	B-PP	O
experimental	experimental	e21060505304	JJ	B-NP	O
thrombosis	thrombosis	t060510202	NN	I-NP	B-Disease
in	in	i500	IN	B-PP	O
mice	mouse	m020	NNS	B-NP	O
and	and	a530	CC	O	O
human	human	h0505	JJ	B-NP	O
platelet	platelet	p4030403	NN	I-NP	B-Disease
aggregation	aggregation	a26020305	NN	I-NP	I-Disease
.	.	.000	.	O	O

Tetrandrine	Tetrandrine	t0360536050	NN	B-NP	B-Chemical
(	(	(000	(	O	O
TET	TET	t030	NN	B-NP	B-Chemical
)	)	)000	)	O	O
and	and	a530	CC	O	O
fangchinoline	fangchinoline	f0520504050	NN	B-NP	B-Chemical
(	(	(000	(	O	O
FAN	FAN	f050	NN	B-NP	B-Chemical
)	)	)000	)	O	O
are	be	a600	VBP	B-VP	O
two	two	t000	CD	B-NP	O
naturally	naturally	n0306040	RB	I-NP	O
occurring	occur	o206052	VBG	I-NP	O
analogues	analogue	a5040202	NNS	B-NP	O
with	with	w030	IN	B-PP	O
a	a	a000	DT	B-NP	O
bisbenzylisoquinoline	bisbenzylisoquinoline	b0210520402020504050	NN	I-NP	B-Chemical
structure	structure	s36023060	NN	I-NP	O
.	.	.000	.	O	O

The	The	t000	DT	B-NP	O
present	present	p602053	JJ	I-NP	O
study	study	s3030	NN	I-NP	O
was	be	w020	VBD	B-VP	O
undertaken	undertake	u530630205	VBN	I-VP	O
to	to	t000	TO	I-VP	O
investigate	investigate	i5102302030	VB	I-VP	O
the	the	t000	DT	B-NP	O
effects	effect	e10232	NNS	I-NP	O
of	of	o100	IN	B-PP	O
TET	TET	t030	NN	B-NP	B-Chemical
and	and	a530	CC	I-NP	O
FAN	FAN	f050	NN	I-NP	B-Chemical
on	on	o500	IN	B-PP	O
the	the	t000	DT	B-NP	O
experimental	experimental	e21060505304	JJ	I-NP	O
thrombosis	thrombosis	t060510202	NN	I-NP	B-Disease
induced	induce	i530203	VBN	B-VP	O
by	by	b000	IN	B-PP	O
collagen	collagen	c040205	NN	B-NP	O
plus	plus	p402	CC	O	O
epinephrine	epinephrine	e1050106050	NN	B-NP	B-Chemical
(	(	(000	(	O	O
EP	EP	e100	NN	B-NP	B-Chemical
)	)	)000	)	O	O
in	in	i500	IN	B-PP	O
mice	mouse	m020	NNS	B-NP	O
,	,	,000	,	O	O
and	and	a530	CC	O	O
platelet	platelet	p4030403	NN	B-NP	B-Disease
aggregation	aggregation	a26020305	NN	I-NP	I-Disease
and	and	a530	CC	O	O
blood	blood	b403	NN	B-NP	B-Disease
coagulation	coagulation	c02040305	NN	I-NP	I-Disease
in	in	i500	FW	B-ADVP	O
vitro	vitro	v0360	FW	I-ADVP	O
.	.	.000	.	O	O

In	In	i500	IN	B-PP	O
the	the	t000	DT	B-NP	O
in	in	i500	FW	I-NP	O
vivo	vivo	v010	FW	I-NP	O
study	study	s3030	NN	I-NP	O
,	,	,000	,	O	O
the	the	t000	DT	B-NP	O
administration	administration	a350502360305	NN	I-NP	O
(	(	(000	(	O	O
50	50	0000	CD	B-NP	O
mg	mg	m200	NN	I-NP	O
/	/	/000	SYM	B-NP	O
kg	kg	k200	NN	I-NP	O
,	,	,000	,	O	O
i	i	i000	NN	B-NP	O
.	.	.000	.	I-NP	O
p	p	p000	NN	I-NP	O
.	.	.000	.	O	O
)	)	)000	)	O	O
of	of	o100	IN	B-PP	O
TET	TET	t030	NN	B-NP	B-Chemical
and	and	a530	CC	I-NP	O
FAN	FAN	f050	NN	I-NP	B-Chemical
in	in	i500	IN	B-PP	O
mice	mouse	m020	NNS	B-NP	O
showed	show	s030	VBD	B-VP	O
the	the	t000	DT	B-NP	O
inhibition	inhibition	i5010305	NN	I-NP	O
of	of	o100	IN	B-PP	O
thrombosis	thrombosis	t060510202	NN	B-NP	B-Disease
by	by	b000	IN	B-PP	O
55	55	0000	CD	B-NP	O
%	%	%000	NN	I-NP	O
and	and	a530	CC	O	O
35	35	0000	CD	B-NP	O
%	%	%000	NN	I-NP	O
,	,	,000	,	O	O
respectively	respectively	r02102301040	RB	B-ADVP	O
,	,	,000	,	O	O
while	while	w040	IN	B-SBAR	O
acetylsalicylic	acetylsalicylic	a20304204020402	JJ	B-NP	B-Chemical
acid	acid	a203	NN	I-NP	I-Chemical
(	(	(000	(	O	O
ASA	ASA	a200	NN	B-NP	B-Chemical
,	,	,000	,	O	O
50	50	0000	CD	B-NP	O
mg	mg	m200	NN	I-NP	O
/	/	/000	SYM	B-NP	O
kg	kg	k200	NN	I-NP	O
,	,	,000	,	O	O
i	i	i000	NN	B-NP	O
.	.	.000	.	I-NP	O
p	p	p000	NN	I-NP	O
.	.	.000	.	O	O
)	)	)000	)	O	O
,	,	,000	,	O	O
a	a	a000	DT	B-NP	O
positive	positive	p0203010	JJ	I-NP	O
control	control	c053604	NN	I-NP	O
,	,	,000	,	O	O
showed	show	s030	VBD	B-VP	O
only	only	o540	RB	B-NP	O
30	30	0000	CD	I-NP	O
%	%	%000	NN	I-NP	O
inhibition	inhibition	i5010305	NN	I-NP	O
.	.	.000	.	O	O

In	In	i500	IN	B-PP	O
the	the	t000	DT	B-NP	O
vitro	vitro	v0360	FW	I-NP	O
human	human	h0505	JJ	I-NP	O
platelet	platelet	p4030403	NN	I-NP	B-Disease
aggregations	aggregation	a260203052	NNS	I-NP	I-Disease
induced	induce	i530203	VBN	B-VP	O
by	by	b000	IN	B-PP	O
the	the	t000	DT	B-NP	O
agonists	agonist	a2050232	NNS	I-NP	O
used	use	u203	VBN	B-VP	O
in	in	i500	IN	B-PP	O
tests	test	t0232	NNS	B-NP	O
,	,	,000	,	I-NP	O
TET	TET	t030	NN	I-NP	B-Chemical
and	and	a530	CC	I-NP	O
FAN	FAN	f050	NN	I-NP	B-Chemical
showed	show	s030	VBD	B-VP	O
the	the	t000	DT	B-NP	O
inhibitions	inhibition	i50103052	NNS	I-NP	O
dose	dose	d020	NN	I-NP	O
dependently	dependently	d0105305340	RB	B-ADVP	O
.	.	.000	.	O	O

In	In	i500	IN	B-PP	O
addition	addition	a30305	NN	B-NP	O
,	,	,000	,	O	O
neither	neither	n0306	CC	O	O
TET	TET	t030	NN	B-NP	B-Chemical
nor	nor	n060	CC	I-NP	O
FAN	FAN	f050	NN	I-NP	B-Chemical
showed	show	s030	VBD	B-VP	O
any	any	a500	DT	B-NP	O
anticoagulation	anticoagulation	a530202040305	NN	I-NP	O
activities	activity	a23010302	NNS	I-NP	O
in	in	i500	IN	B-PP	O
the	the	t000	DT	B-NP	O
measurement	measurement	m020605053	NN	I-NP	O
of	of	o100	IN	B-PP	O
the	the	t000	DT	B-NP	O
activated	activate	a23010303	VBN	I-NP	O
partial	partial	p06304	JJ	I-NP	O
thromboplastin	thromboplastin	t0605101402305	NN	I-NP	O
time	time	t050	NN	I-NP	O
(	(	(000	(	O	O
APTT	APTT	a130	NN	B-NP	O
)	)	)000	)	O	O
,	,	,000	,	O	O
prothrombin	prothrombin	p6030605105	NN	B-NP	O
time	time	t050	NN	I-NP	O
(	(	(000	(	O	O
PT	PT	p300	NN	B-NP	O
)	)	)000	)	O	O
and	and	a530	CC	O	O
thrombin	thrombin	t0605105	NN	B-NP	O
time	time	t050	NN	I-NP	O
(	(	(000	(	O	O
TT	TT	t300	NN	B-NP	O
)	)	)000	)	O	O
using	use	u2052	VBG	B-VP	O
human	human	h0505	JJ	B-NP	O
-	-	-000	HYPH	I-NP	O
citrated	citrate	c0360303	VBN	I-NP	O
plasma	plasma	p40250	NN	I-NP	O
.	.	.000	.	O	O

These	These	t020	DT	B-NP	O
results	result	r020432	NNS	I-NP	O
suggest	suggest	s02023	VBP	B-VP	O
that	that	t030	IN	B-SBAR	O
antithrombosis	antithrombosis	a5303060510202	NN	B-NP	O
of	of	o100	IN	B-PP	O
TET	TET	t030	NN	B-NP	B-Chemical
and	and	a530	CC	I-NP	O
FAN	FAN	f050	NN	I-NP	B-Chemical
in	in	i500	IN	B-PP	O
mice	mouse	m020	NNS	B-NP	O
may	may	m000	MD	B-VP	O
be	be	b000	VB	I-VP	O
mainly	mainly	m0540	RB	I-VP	O
related	relate	r040303	VBN	I-VP	O
to	to	t000	TO	B-PP	O
the	the	t000	DT	B-NP	O
antiplatelet	antiplatelet	a53014030403	JJ	I-NP	O
aggregation	aggregation	a26020305	NN	I-NP	O
activities	activity	a23010302	NNS	I-NP	O
.	.	.000	.	O	O

Angioedema	Angioedema	a5203050	NN	B-NP	B-Disease
due	due	d000	JJ	B-ADJP	O
to	to	t000	TO	B-PP	O
ACE	ACE	a200	NN	B-NP	B-Chemical
inhibitors	inhibitor	i50103062	NNS	I-NP	I-Chemical
:	:	:000	:	O	O
common	common	c0505	JJ	B-ADJP	O
and	and	a530	CC	O	O
inadequately	inadequately	i5030203040	RB	B-ADJP	O
diagnosed	diagnose	d0250203	VBN	I-ADJP	O
.	.	.000	.	O	O

The	The	t000	DT	B-NP	O
estimated	estimate	e23050303	VBN	I-NP	O
incidence	incidence	i52030520	NN	I-NP	O
of	of	o100	IN	B-PP	O
angioedema	angioedema	a5203050	NN	B-NP	B-Disease
during	during	d06052	IN	B-PP	O
angiotensin	angiotensin	a520305205	NN	B-NP	B-Chemical
-	-	-000	HYPH	O	I-Chemical
converting	convert	c051063052	VBG	B-VP	I-Chemical
enzyme	enzyme	e52050	NN	B-NP	I-Chemical
(	(	(000	(	O	I-Chemical
ACE	ACE	a200	NN	B-NP	I-Chemical
)	)	)000	)	O	I-Chemical
inhibitor	inhibitor	i5010306	NN	B-NP	I-Chemical
treatment	treatment	t6035053	NN	I-NP	O
is	be	i200	VBZ	B-VP	O
between	between	b0305	IN	B-NP	O
