study	study	s3030	NN	I-NP	O
was	be	w020	VBD	B-VP	O
undertaken	undertake	u530630205	VBN	I-VP	O
to	to	t000	TO	B-VP	O
determine	determine	d03065050	VB	I-VP	O
the	the	t000	DT	B-NP	O
effects	effect	e10232	NNS	I-NP	O
of	of	o100	IN	B-PP	O
OCT	OCT	o230	NN	B-NP	B-Chemical
on	on	o500	IN	B-PP	O
serum	serum	s0605	NN	B-NP	O
PTH	PTH	p300	NN	I-NP	O
levels	level	l01042	NNS	I-NP	O
and	and	a530	CC	O	O
bone	bone	b050	NN	B-NP	O
turnover	turnover	t0650106	NN	I-NP	O
in	in	i500	IN	B-PP	O
states	state	s30302	NNS	B-NP	O
of	of	o100	IN	B-PP	O
normal	normal	n06504	JJ	B-NP	O
or	or	o600	CC	I-NP	O
impaired	impaired	i510603	JJ	I-NP	B-Disease
renal	renal	r0504	JJ	I-NP	I-Disease
function	function	f052305	NN	I-NP	I-Disease
.	.	.000	.	O	O

METHODS	METHODS	m03032	NNS	B-NP	O
:	:	:000	:	O	O
Sixty	Sixty	s0230	CD	B-NP	O
dogs	dog	d020	NNS	I-NP	O
were	be	w060	VBD	B-VP	O
either	either	e0306	CC	O	O
nephrectomized	nephrectomize	n0106023050203	VBN	B-VP	O
(	(	(000	(	O	O
Nx	Nx	n200	NN	B-NP	O
,	,	,000	,	O	O
N	N	n000	NN	B-NP	O
=	=	=000	SYM	B-VP	O
38	38	0000	CD	B-NP	O
)	)	)000	)	O	O
or	or	o600	CC	O	O
sham	sham	s050	NN	B-NP	O
-	-	-000	HYPH	B-VP	O
operated	operate	o1060303	VBN	I-VP	O
(	(	(000	(	O	O
Sham	Sham	s050	NN	B-NP	O
,	,	,000	,	O	O
N	N	n000	NN	B-NP	O
=	=	=000	SYM	B-VP	O
22	22	0000	CD	B-NP	O
)	)	)000	)	O	O
.	.	.000	.	O	O

The	The	t000	DT	B-NP	O
animals	animal	a505042	NNS	I-NP	O
received	receive	r020103	VBD	B-VP	O
supplemental	supplemental	s0140505304	JJ	B-NP	O
phosphate	phosphate	p021030	NN	I-NP	B-Chemical
to	to	t000	TO	B-VP	O
enhance	enhance	e50520	VB	I-VP	O
PTH	PTH	p300	NN	B-NP	O
secretion	secretion	s0260305	NN	I-NP	O
.	.	.000	.	O	O

Fourteen	Fourteen	f06305	CD	B-NP	O
weeks	week	w020	NNS	I-NP	O
after	after	a1306	IN	B-PP	O
the	the	t000	DT	B-NP	O
start	start	s3063	NN	I-NP	O
of	of	o100	IN	B-PP	O
phosphate	phosphate	p021030	NN	B-NP	B-Chemical
supplementation	supplementation	s014050530305	NN	I-NP	O
,	,	,000	,	O	O
half	half	h041	NN	B-NP	O
of	of	o100	IN	B-PP	O
the	the	t000	DT	B-NP	O
Nx	Nx	n200	NNP	I-NP	O
and	and	a530	CC	I-NP	O
Sham	Sham	s050	NNP	I-NP	O
dogs	dog	d020	NNS	I-NP	O
received	receive	r020103	VBD	B-VP	O
doses	dose	d0202	NNS	B-NP	O
of	of	o100	IN	B-PP	O
OCT	OCT	o230	NN	B-NP	B-Chemical
(	(	(000	(	O	O
three	three	t060	CD	B-NP	O
times	time	t0502	NNS	I-NP	O
per	per	p060	IN	B-PP	O
week	week	w020	NN	B-NP	O
)	)	)000	)	O	O
;	;	;000	:	O	O
the	the	t000	DT	B-NP	O
other	other	o306	JJ	I-NP	O
half	half	h041	NN	I-NP	O
were	be	w060	VBD	B-VP	O
given	give	g0105	VBN	I-VP	O
vehicle	vehicle	v0240	NN	B-NP	O
for	for	f060	IN	B-PP	O
60	60	0000	CD	B-NP	O
weeks	week	w020	NNS	I-NP	O
.	.	.000	.	O	O

Thereafter	Thereafter	t0601306	RB	B-ADVP	O
,	,	,000	,	O	O
the	the	t000	DT	B-NP	O
treatment	treatment	t6035053	NN	I-NP	O
modalities	modality	m03040302	NNS	I-NP	O
for	for	f060	IN	B-PP	O
a	a	a000	DT	B-NP	O
subset	subset	s01203	NN	I-NP	O
of	of	o100	IN	B-PP	O
animals	animal	a505042	NNS	B-NP	O
were	be	w060	VBD	B-VP	O
crossed	cross	c60203	VBN	I-VP	O
over	over	o106	RP	B-PRT	O
for	for	f060	IN	B-PP	O
an	an	a500	DT	B-NP	O
additional	additional	a3030504	JJ	I-NP	O
eight	eight	e0203	CD	I-NP	O
months	month	m05302	NNS	I-NP	O
.	.	.000	.	O	O

Biochemical	Biochemical	b02050204	JJ	B-NP	O
and	and	a530	CC	I-NP	O
hormonal	hormonal	h0650504	JJ	I-NP	O
indices	index	i530202	NNS	I-NP	O
of	of	o100	IN	B-PP	O
calcium	calcium	c04205	NN	B-NP	B-Chemical
and	and	a530	CC	I-NP	O
bone	bone	b050	NN	I-NP	O
metabolism	metabolism	m030104025	NN	I-NP	O
were	be	w060	VBD	B-VP	O
measured	measure	m020603	VBN	I-VP	O
throughout	throughout	t060203	IN	B-PP	O
the	the	t000	DT	B-NP	O
study	study	s3030	NN	I-NP	O
,	,	,000	,	O	O
and	and	a530	CC	O	O
bone	bone	b050	NN	B-NP	O
biopsies	biopsy	b01202	NNS	I-NP	O
were	be	w060	VBD	B-VP	O
done	do	d050	VBN	I-VP	O
at	at	a300	IN	B-PP	O
baseline	baseline	b0204050	NN	B-NP	O
,	,	,000	,	O	O
60	60	0000	CD	B-NP	O
weeks	week	w020	NNS	I-NP	O
after	after	a1306	IN	B-PP	O
OCT	OCT	o230	NN	B-NP	B-Chemical
or	or	o600	CC	O	O
vehicle	vehicle	v0240	NN	B-NP	O
treatment	treatment	t6035053	NN	I-NP	O
,	,	,000	,	O	O
and	and	a530	CC	O	O
at	at	a300	IN	B-PP	O
the	the	t000	DT	B-NP	O
end	end	e530	NN	I-NP	O
of	of	o100	IN	B-PP	O
the	the	t000	DT	B-NP	O
crossover	crossover	c6020106	NN	I-NP	O
period	period	p0603	NN	I-NP	O
.	.	.000	.	O	O

RESULTS	RESULTS	r020432	NNS	B-NP	O
:	:	:000	:	O	O
In	In	i500	IN	B-PP	O
Nx	Nx	n200	NN	B-NP	O
dogs	dog	d020	NNS	I-NP	O
,	,	,000	,	O	O
OCT	OCT	o230	NN	B-NP	B-Chemical
significantly	significantly	s025010205340	RB	B-ADVP	O
decreased	decrease	d0260203	VBD	B-VP	O
serum	serum	s0605	NN	B-NP	O
PTH	PTH	p300	NN	I-NP	O
levels	level	l01042	NNS	I-NP	O
soon	soon	s050	RB	B-ADVP	O
after	after	a1306	IN	B-PP	O
the	the	t000	DT	B-NP	O
induction	induction	i5302305	NN	I-NP	O
of	of	o100	IN	B-PP	O
renal	renal	r0504	JJ	B-NP	B-Disease
insufficiency	insufficiency	i5201020520	NN	I-NP	I-Disease
.	.	.000	.	O	O

In	In	i500	IN	B-PP	O
long	long	l052	RB	B-ADVP	O
-	-	-000	HYPH	O	O
standing	stand	s3053052	VBG	B-VP	O
secondary	secondary	s02053060	JJ	B-NP	B-Disease
hyperparathyroidism	hyperparathyroidism	h0106106030603025	NN	I-NP	I-Disease
,	,	,000	,	O	O
OCT	OCT	o230	NN	B-NP	B-Chemical
(	(	(000	(	O	O
0	0	0000	CD	B-NP	O
.	.	.000	.	O	O
03	03	0000	CD	B-NP	O
microg	microg	m02602	NN	I-NP	O
/	/	/000	SYM	B-NP	O
kg	kg	k200	NN	I-NP	O
)	)	)000	)	O	O
stabilized	stabilize	s301040203	VBD	B-VP	O
serum	serum	s0605	NN	B-NP	O
PTH	PTH	p300	NN	I-NP	O
levels	level	l01042	NNS	I-NP	O
during	during	d06052	IN	B-PP	O
the	the	t000	DT	B-NP	O
first	first	f0623	JJ	I-NP	O
months	month	m05302	NNS	I-NP	O
.	.	.000	.	O	O

Serum	Serum	s0605	NN	B-NP	O
PTH	PTH	p300	NN	I-NP	O
levels	level	l01042	NNS	I-NP	O
rose	rise	r020	VBD	B-VP	O
thereafter	thereafter	t0601306	RB	B-ADVP	O
,	,	,000	,	O	O
but	but	b030	CC	O	O
the	the	t000	DT	B-NP	O
rise	rise	r020	NN	I-NP	O
was	be	w020	VBD	B-VP	O
less	less	l020	RBR	B-ADJP	O
pronounced	pronounced	p60505203	JJ	I-ADJP	O
compared	compare	c0510603	VBN	B-PP	O
with	with	w030	IN	B-PP	O
baseline	baseline	b0204050	NN	B-NP	O
than	than	t050	IN	B-PP	O
the	the	t000	DT	B-NP	O
rise	rise	r020	NN	I-NP	O
seen	see	s050	VBN	B-VP	O
in	in	i500	IN	B-PP	O
Nx	Nx	n200	NN	B-NP	O
control	control	c053604	NN	I-NP	O
.	.	.000	.	O	O

These	These	t020	DT	B-NP	O
effects	effect	e10232	NNS	I-NP	O
were	be	w060	VBD	B-VP	O
accompanied	accompany	a20510503	VBN	I-VP	O
by	by	b000	IN	B-PP	O
episodes	episode	e1020302	NNS	B-NP	O
of	of	o100	IN	B-PP	O
hypercalcemia	hypercalcemia	h01062042050	NN	B-NP	B-Disease
and	and	a530	CC	I-NP	O
hyperphosphatemia	hyperphosphatemia	h0106102103050	NN	I-NP	B-Disease
.	.	.000	.	O	O

In	In	i500	IN	B-PP	O
animals	animal	a505042	NNS	B-NP	O
with	with	w030	IN	B-PP	O
normal	normal	n06504	JJ	B-NP	O
renal	renal	r0504	JJ	I-NP	O
function	function	f052305	NN	I-NP	O
,	,	,000	,	O	O
OCT	OCT	o230	NN	B-NP	B-Chemical
induced	induce	i530203	VBD	B-VP	O
a	a	a000	DT	B-NP	O
transient	transient	t6052053	JJ	I-NP	O
decrease	decrease	d026020	NN	I-NP	O
in	in	i500	IN	B-PP	O
serum	serum	s0605	NN	B-NP	O
PTH	PTH	p300	NN	I-NP	O
levels	level	l01042	NNS	I-NP	O
at	at	a300	IN	B-PP	O
a	a	a000	DT	B-NP	O
dose	dose	d020	NN	I-NP	O
of	of	o100	IN	B-PP	O
0	0	0000	CD	B-NP	O
.	.	.000	.	O	O
1	1	1000	CD	B-NP	O
microg	microg	m02602	NN	I-NP	O
/	/	/000	SYM	B-NP	O
kg	kg	k200	NN	I-NP	O
,	,	,000	,	O	O
which	which	w020	WDT	B-NP	O
was	be	w020	VBD	B-VP	O
not	not	n030	RB	I-VP	O
sustained	sustain	s0230503	VBN	I-VP	O
with	with	w030	IN	B-PP	O
lowering	lower	l06052	VBG	B-NP	O
of	of	o100	IN	B-PP	O
the	the	t000	DT	B-NP	O
doses	dose	d0202	NNS	I-NP	O
.	.	.000	.	O	O

In	In	i500	IN	B-PP	O
Nx	Nx	n200	NN	B-NP	O
dogs	dog	d020	NNS	I-NP	O
,	,	,000	,	O	O
OCT	OCT	o230	NN	B-NP	B-Chemical
reversed	reverse	r0106203	VBD	B-VP	O
abnormal	abnormal	a1506504	JJ	B-NP	O
bone	bone	b050	NN	I-NP	O
formation	formation	f0650305	NN	I-NP	O
,	,	,000	,	O	O
such	such	s020	JJ	B-PP	O
as	as	a200	IN	I-PP	O
woven	woven	w0105	JJ	B-NP	B-Disease
osteoid	osteoid	o2303	JJ	I-NP	I-Disease
and	and	a530	CC	I-NP	O
fibrosis	fibrosis	f0160202	NN	I-NP	B-Disease
,	,	,000	,	O	O
but	but	b030	CC	O	O
did	do	d030	VBD	B-VP	O
not	not	n030	RB	I-VP	O
significantly	significantly	s025010205340	RB	I-VP	O
alter	alter	a4306	VB	I-VP	O
the	the	t000	DT	B-NP	O
level	level	l0104	NN	I-NP	O
of	of	o100	IN	B-PP	O
bone	bone	b050	NN	B-NP	O
turnover	turnover	t0650106	NN	I-NP	O
.	.	.000	.	O	O

In	In	i500	IN	B-PP	O
addition	addition	a30305	NN	B-NP	O
,	,	,000	,	O	O
OCT	OCT	o230	NN	B-NP	B-Chemical
improved	improve	i5160103	VBD	B-VP	O
mineralization	mineralization	m050604020305	NN	B-NP	O
lag	lag	l020	NN	I-NP	O
time	time	t050	NN	I-NP	O
,	,	,000	,	O	O
(	(	(000	(	O	O
that	that	t030	DT	B-NP	O
is	be	i200	VBZ	B-VP	O
,	,	,000	,	O	O
the	the	t000	DT	B-NP	O
rate	rate	r030	NN	I-NP	O
at	at	a300	IN	B-PP	O
which	which	w020	WDT	B-NP	O
osteoid	osteoid	o2303	JJ	B-NP	O
mineralizes	mineraliz	m0506040202	NNS	I-NP	O
)	)	)000	)	O	O
in	in	i500	IN	B-PP	O
both	both	b030	CC	O	O
Nx	Nx	n200	NN	B-NP	O
and	and	a530	CC	I-NP	O
Sham	Sham	s050	NN	I-NP	O
dogs	dog	d020	NNS	I-NP	O
.	.	.000	.	O	O

CONCLUSIONS	CONCLUSIONS	c052402052	NNS	B-NP	O
:	:	:000	:	O	O
These	These	t020	DT	B-NP	O
results	result	r020432	NNS	I-NP	O
indicate	indicate	i5302030	VBP	B-VP	O
that	that	t030	IN	B-SBAR	O
even	even	e105	RB	B-SBAR	O
though	though	t020	IN	I-SBAR	O
OCT	OCT	o230	NN	B-NP	B-Chemical
does	do	d020	VBZ	B-VP	O
not	not	n030	RB	I-VP	O
completely	completely	c051403040	RB	I-VP	O
prevent	prevent	p601053	VB	I-VP	O
the	the	t000	DT	B-NP	O
occurrence	occurrence	o2060520	NN	I-NP	O
of	of	o100	IN	B-PP	O
hypercalcemia	hypercalcemia	h01062042050	NN	B-NP	B-Disease
in	in	i500	IN	B-PP	O
experimental	experimental	e21060505304	JJ	B-NP	O
dogs	dog	d020	NNS	I-NP	O
with	with	w030	IN	B-PP	O
renal	renal	r0504	JJ	B-NP	B-Disease
insufficiency	insufficiency	i5201020520	NN	I-NP	I-Disease
,	,	,000	,	O	O
it	it	i300	PRP	B-NP	O
may	may	m000	MD	B-VP	O
be	be	b000	VB	I-VP	O
of	of	o100	IN	B-PP	O
use	use	u200	NN	B-NP	O
in	in	i500	IN	B-PP	O
the	the	t000	DT	B-NP	O
management	management	m050205053	NN	I-NP	O
of	of	o100	IN	B-PP	O
secondary	secondary	s02053060	JJ	B-NP	B-Disease
hyperparathyroidism	hyperparathyroidism	h0106106030603025	NN	I-NP	I-Disease
because	because	b02020	IN	B-SBAR	O
it	it	i300	PRP	B-NP	O
does	do	d020	VBZ	B-VP	O
not	not	n030	RB	I-VP	O
induce	induce	i53020	VB	I-VP	O
low	low	l000	JJ	B-NP	B-Disease
bone	bone	b050	NN	I-NP	I-Disease
turnover	turnover	t0650106	NN	I-NP	I-Disease
and	and	a530	CC	O	O
,	,	,000	,	O	O
therefore	therefore	t0601060	RB	B-ADVP	O
,	,	,000	,	O	O
does	do	d020	VBZ	B-VP	O
not	not	n030	RB	I-VP	O
increase	increase	i526020	VB	I-VP	O
the	the	t000	DT	B-NP	O
risk	risk	r020	NN	I-NP	O
of	of	o100	IN	B-PP	O
adynamic	adynamic	a3050502	JJ	B-NP	B-Disease
bone	bone	b050	NN	I-NP	I-Disease
disease	disease	d02020	NN	I-NP	I-Disease
.	.	.000	.	O	O

Hypotension	Hypotension	h010305205	NN	B-NP	B-Disease
,	,	,000	,	O	O
bradycardia	bradycardia	b603020630	NN	B-NP	B-Disease
,	,	,000	,	O	O
and	and	a530	CC	O	O
asystole	asystole	a2023040	NN	B-NP	B-Disease
after	after	a1306	IN	B-PP	O
high	high	h020	JJ	B-NP	O
-	-	-000	HYPH	I-NP	O
dose	dose	d020	NN	I-NP	O
intravenous	intravenous	i536010502	JJ	I-NP	O
methylprednisolone	methylprednisolone	m0304160350204050	NN	I-NP	B-Chemical
in	in	i500	IN	B-PP	O
a	a	a000	DT	B-NP	O
monitored	monitor	m05030603	VBN	I-NP	O
patient	patient	p03053	NN	I-NP	O
.	.	.000	.	O	O

We	We	w000	PRP	B-NP	O
report	report	r01063	VBP	B-VP	O
a	a	a000	DT	B-NP	O
case	case	c020	NN	I-NP	O
of	of	o100	IN	B-PP	O
hypotension	hypotension	h010305205	NN	B-NP	B-Disease
,	,	,000	,	O	O
bradycardia	bradycardia	b603020630	NN	B-NP	B-Disease
,	,	,000	,	O	O
and	and	a530	CC	O	O
asystole	asystole	a2023040	NN	B-NP	B-Disease
after	after	a1306	IN	B-SBAR	O
intravenous	intravenous	i536010502	JJ	B-NP	O
administration	administration	a350502360305	NN	I-NP	O
of	of	o100	IN	B-PP	O
high	high	h020	JJ	B-NP	O
-	-	-000	HYPH	I-NP	O
dose	dose	d020	NN	I-NP	O
methylprednisolone	methylprednisolone	m0304160350204050	NN	I-NP	B-Chemical
in	in	i500	IN	B-PP	O
a	a	a000	DT	B-NP	O
73	73	0000	CD	I-NP	O
-	-	-000	HYPH	I-NP	O
year	year	y060	NN	I-NP	O
-	-	-000	HYPH	B-NP	O
old	old	o430	JJ	I-NP	O
patient	patient	p03053	NN	I-NP	O
who	who	w000	WP	B-NP	O
underwent	undergo	u5306053	VBD	B-VP	O
electrocardiographic	electrocardiographic	e40236020630260102	JJ	B-ADJP	O
(	(	(000	(	O	O
ECG	ECG	e200	NN	B-NP	O
)	)	)000	)	O	O
monitoring	monitoring	m050306052	NN	B-NP	O
throughout	throughout	t060203	IN	B-PP	O
the	the	t000	DT	B-NP	O
episode	episode	e102030	NN	I-NP	O
.	.	.000	.	O	O

There	There	t060	EX	B-NP	O
was	be	w020	VBD	B-VP	O
a	a	a000	DT	B-NP	O
history	history	h023060	NN	I-NP	O
of	of	o100	IN	B-PP	O
ischemic	ischemic	i20502	JJ	B-NP	B-Disease
cardiac	cardiac	c06302	JJ	I-NP	B-Disease
disease	disease	d02020	NN	I-NP	I-Disease
9	9	9000	CD	B-NP	O
years	year	y062	NNS	I-NP	O
earlier	earlier	e06406	RBR	B-ADVP	O
.	.	.000	.	O	O

The	The	t000	DT	B-NP	O
patient	patient	p03053	NN	I-NP	O
was	be	w020	VBD	B-VP	O
admitted	admit	a350303	VBN	I-VP	O
with	with	w030	IN	B-PP	O
a	a	a000	DT	B-NP	O
pulmonary	pulmonary	p04505060	JJ	I-NP	B-Disease
-	-	-000	HYPH	I-NP	I-Disease
renal	renal	r0504	JJ	I-NP	I-Disease
syndrome	syndrome	s0536050	NN	I-NP	I-Disease
with	with	w030	IN	B-PP	O
hemoptysis	hemoptysis	h050130202	NN	B-NP	B-Disease
,	,	,000	,	O	O
rapidly	rapidly	r010340	RB	B-NP	O
progressive	progressive	p602602010	JJ	I-NP	O
renal	renal	r0504	JJ	I-NP	B-Disease
failure	failure	f04060	NN	I-NP	I-Disease
,	,	,000	,	O	O
and	and	a530	CC	O	O
hypoxemia	hypoxemia	h0102050	NN	B-NP	B-Disease
that	that	t030	WDT	B-NP	O
required	require	r020603	VBD	B-VP	O
mechanical	mechanical	m02050204	JJ	B-NP	O
ventilation	ventilation	v053040305	NN	I-NP	O
in	in	i500	IN	B-PP	O
the	the	t000	DT	B-NP	O
intensive	intensive	i53052010	JJ	I-NP	O
care	care	c060	NN	I-NP	O
unit	unit	u503	NN	I-NP	O
.	.	.000	.	O	O

After	After	a1306	IN	B-PP	O
receiving	receive	r0201052	VBG	B-VP	O
advanced	advanced	a3105203	JJ	B-NP	O
cardiopulmonary	cardiopulmonary	c0630104505060	JJ	I-NP	O
resuscitation	resuscitation	r0202030305	NN	I-NP	O
,	,	,000	,	O	O
the	the	t000	DT	B-NP	O
patient	patient	p03053	NN	I-NP	O
recovered	recover	r02010603	VBD	B-VP	O
cardiac	cardiac	c06302	JJ	B-NP	O
rhythm	rhythm	r0305	NN	I-NP	O
.	.	.000	.	O	O

The	The	t000	DT	B-NP	O
ECG	ECG	e200	NN	I-NP	O
showed	show	s030	VBD	B-VP	O
a	a	a000	DT	B-NP	O
junctional	junctional	j05230504	JJ	I-NP	O
rhythm	rhythm	r0305	NN	I-NP	O
without	without	w0303	IN	B-PP	O
ventricular	ventricular	v0536020406	JJ	B-NP	B-Disease
arrhythmia	arrhythmia	a603050	NN	I-NP	I-Disease
.	.	.000	.	O	O

This	This	t020	DT	B-NP	O
study	study	s3030	NN	I-NP	O
reviews	review	r0102	VBZ	B-VP	O
the	the	t000	DT	B-NP	O
current	current	c06053	JJ	I-NP	O
proposed	propose	p6010203	VBN	I-NP	O
mechanisms	mechanism	m02050252	NNS	I-NP	O
of	of	o100	IN	B-PP	O
sudden	sudden	s0305	JJ	B-NP	B-Disease
death	death	d030	NN	I-NP	I-Disease
after	after	a1306	IN	B-PP	O
a	a	a000	DT	B-NP	O
high	high	h020	JJ	I-NP	O
dose	dose	d020	NN	I-NP	O
of	of	o100	IN	B-PP	O
intravenous	intravenous	i536010502	JJ	B-NP	O
methylprednisolone	methylprednisolone	m0304160350204050	NN	I-NP	B-Chemical
(	(	(000	(	O	O
IVMP	IVMP	i151	NN	B-NP	B-Chemical
)	)	)000	)	O	O
.	.	.000	.	O	O

These	These	t020	DT	B-NP	O
mechanisms	mechanism	m02050252	NNS	I-NP	O
are	be	a600	VBP	B-VP	O
not	not	n030	RB	I-VP	O
well	well	w040	RB	I-VP	O
understood	understand	u53062303	VBN	I-VP	O
because	because	b02020	IN	B-SBAR	O
,	,	,000	,	O	O
in	in	i500	IN	B-PP	O
most	most	m023	JJS	B-NP	O
cases	case	c0202	NNS	I-NP	O
,	,	,000	,	O	O
the	the	t000	DT	B-NP	O
patients	patient	p030532	NNS	I-NP	O
were	be	w060	VBD	B-VP	O
not	not	n030	RB	I-VP	O
monitored	monitor	m05030603	VBN	I-VP	O
at	at	a300	IN	B-PP	O
the	the	t000	DT	B-NP	O
moment	moment	m05053	NN	I-NP	O
of	of	o100	IN	B-PP	O
the	the	t000	DT	B-NP	O
event	event	e1053	NN	I-NP	O
.	.	.000	.	O	O

Rapid	Rapid	r0103	JJ	B-NP	O
infusion	infusion	i510205	NN	I-NP	O
and	and	a530	CC	O	O
underlying	underlie	u53064052	VBG	B-VP	O
cardiac	cardiac	c06302	JJ	B-NP	B-Disease
disease	disease	d02020	NN	I-NP	I-Disease
were	be	w060	VBD	B-VP	O
important	important	i51063053	JJ	B-NP	O
risk	risk	r020	NN	I-NP	O
factors	factor	f023062	NNS	I-NP	O
in	in	i500	IN	B-PP	O
the	the	t000	DT	B-NP	O
case	case	c020	NN	I-NP	O
reported	report	r0106303	VBN	B-VP	O
here	here	h060	RB	B-ADVP	O
,	,	,000	,	O	O
and	and	a530	CC	O	O
the	the	t000	DT	B-NP	O
authors	author	a03062	NNS	I-NP	O
discount	discount	d02053	VBP	B-VP	O
ventricular	ventricular	v0536020406	JJ	B-NP	B-Disease
arrhythmia	arrhythmia	a603050	NN	I-NP	I-Disease
as	as	a200	IN	B-PP	O
the	the	t000	DT	B-NP	O
main	main	m050	JJ	I-NP	O
mechanism	mechanism	m0205025	NN	I-NP	O
.	.	.000	.	O	O

Worsening	Worsening	w06205052	NN	B-NP	O
of	of	o100	IN	B-PP	O
levodopa	levodopa	l0103010	NN	B-NP	B-Chemical
-	-	-000	HYPH	B-NP	O
induced	induce	i530203	VBN	I-NP	O
dyskinesias	dyskinesia	d02050202	NNS	I-NP	B-Disease
by	by	b000	IN	B-PP	O
motor	motor	m0306	NN	B-NP	O
and	and	a530	CC	O	O
mental	mental	m05304	JJ	B-NP	O
tasks	task	t020	NNS	I-NP	O
.	.	.000	.	O	O

Ten	Ten	t050	CD	B-NP	O
patients	patient	p030532	NNS	I-NP	O
who	who	w000	WP	B-NP	O
had	have	h030	VBD	B-VP	O
Parkinson	Parkinson	p06205205	NNP	B-NP	B-Disease
'	'	'000	POS	B-NP	I-Disease
s	s	s000	JJ	I-NP	I-Disease
disease	disease	d02020	NN	I-NP	I-Disease
with	with	w030	IN	B-PP	O
disabling	disable	d02014052	VBG	B-NP	O
dyskinesia	dyskinesia	d0205020	NN	I-NP	B-Disease
were	be	w060	VBD	B-VP	O
included	include	i5240303	VBN	I-VP	O
in	in	i500	IN	B-PP	O
this	this	t020	DT	B-NP	O
study	study	s3030	NN	I-NP	O
to	to	t000	TO	B-VP	O
evaluate	evaluate	e104030	VB	I-VP	O
the	the	t000	DT	B-NP	O
role	role	r040	NN	I-NP	O
of	of	o100	IN	B-PP	O
mental	mental	m05304	JJ	O	O
(	(	(000	(	O	O
mental	mental	m05304	JJ	B-NP	O
calculation	calculation	c042040305	NN	I-NP	O
)	)	)000	)	O	O
and	and	a530	CC	O	O
motor	motor	m0306	NN	B-NP	O
(	(	(000	(	O	O
flexion	flexion	f40205	NN	B-NP	O
/	/	/000	SYM	B-NP	O
extension	extension	e2305205	NN	I-NP	O
of	of	o100	IN	B-PP	O
